description;biddable;startprice;condition;cellular;carrier;color;storage;sold;UniqueID
Scratches on screen but not too noticeable. scratches on back. Fully functional;1;100;Used;1;AT&T;Unknown;32;1;10662
iPad mini 2 is an open box item, good condition. Does not include original box. Include Genuine ;0;238.8;Used;0;None;Space Gray;16;0;10026
;0;410;Used;1;Sprint;Space Gray;16;0;10590
Used, in super great condition plastic is till on, used for less than a year;1;99.99;Used;Unknown;Unknown;Unknown;Unknown;1;10759
;1;1;New;0;None;Gold;64;1;10438
;1;255;Used;0;None;Black;64;1;10137
;0;275;Used;0;None;Unknown;32;0;11958
;1;300;New;Unknown;Unknown;Unknown;Unknown;0;12008
iPad is used, in normal used condition. Shows some minor wear from regular use, but nothing major. ;0;225;Used;Unknown;Unknown;Unknown;Unknown;0;10469
This iPad is in very good condition. Includes charger. Slight scratches on back and small bend near ;1;0.01;Used;0;None;Unknown;32;1;10781
Excellent, like-new condition. No Scratches, scuffs, or damage.;0;400;Used;0;None;Space Gray;128;0;12494
;1;0.99;Used;0;None;White;16;1;12166
Item that has been restored to working order item is not in original packaging item may have light ;0;375.99;Seller refurbished;0;None;White;64;0;12256
;1;0.99;Used;0;None;Unknown;16;1;11956
FULLY FUNCTIONAL;1;0.99;Manufacturer refurbished;0;None;Black;16;1;12353
In very good conditions, does show sign of use but mostly had a case on at all times. Still has a ;0;90;Used;0;None;Unknown;16;1;10032
;1;0.99;Used;0;None;Unknown;32;1;12018
"Nice Apple iPad Mini 16GB Wi-Fi 7.9&#034; Space Gray MF432LL/A A1432 Locked It does work just cannot ";1;100;Used;0;None;Black;16;1;10618
Comes with USB Cable and wall adapter.  May have minor dings or scuffs.;0;319.95;Manufacturer refurbished;0;None;Space Gray;32;1;10030
;1;700;Used;Unknown;Unknown;Unknown;Unknown;0;11419
This iPad is ICLOUD LOCKED. You will not be able to use it. It is being sold for parts only. It is ;0;229.98;For parts or not working;0;None;Space Gray;16;0;11612
;0;624.99;New other (see details);0;None;Gold;128;1;11217
;0;160;Used;0;None;Black;16;1;11511
;1;259.99;Used;0;None;White;16;1;12032
;1;79.95;Used;0;None;Black;32;1;11324
Fully working, used condition. iPad ONLY.;0;265;Used;Unknown;Unknown;Unknown;Unknown;0;11372
;0;180;New;0;None;Black;32;1;10763
;1;99.99;Used;0;None;White;128;1;11030
This iPad Is In Fantastic Condition. It Performs Flawlessly. Includes Accessories. See Below For ;1;264.95;Used;0;None;Black;32;0;10383
;0;579.99;New;0;None;Unknown;64;0;12541
;0;250;Used;1;AT&T;White;16;0;12518
Excellent Condition. Keeped in case. No scratches mars etc.;1;74.5;Used;0;None;Unknown;16;1;11960
Brand new factory sealed iPad in an OPEN BOX...THE BOX ITSELF IS HEAVILY DISTRESSED(see ;0;514.95;New other (see details);0;None;Gold;64;0;11867
;0;84.99;Used;0;None;Space Gray;16;0;10057
;0;485;New;1;Unknown;Gold;16;0;12495
This TAB is in good condition with minor scratches on the housing or screen (does not affect ;0;229;Used;1;Verizon;White;32;0;11137
Crack on screen.;0;125;Used;0;None;Unknown;16;1;10021
;0;269;Used;0;None;Unknown;32;0;10207
;0;459.95;New;0;None;Gold;16;0;11370
;0;415;Used;1;T-Mobile;Unknown;16;0;11083
;1;25;Used;1;AT&T;Unknown;16;1;11906
;0;750;New;1;Unknown;Unknown;128;0;11461
"iPad is fully functional. Some dings and scratches on the body I&#039;ve tried to make clear in the ";1;85;Used;0;None;Unknown;32;1;12231
The ipad is in great condition, it has been very well taken care of.  Please note the smart cover is ;0;400;Used;1;Sprint;Unknown;16;0;11395
;1;125;Used;0;None;Black;32;1;10474
Excellent used condition- barely used;0;400;Used;0;None;White;64;0;12385
In great condition and fully functional. Does not include box.;1;0.01;Used;0;None;Unknown;16;1;10446
"This iPad has been used, but cared for and is in perfect condition.  It comes with Apple&#039;s Smart ";1;445;Used;0;None;White;128;0;11329
;1;100;Used;0;None;White;64;1;10898
"A device listed in near mint used cosmetic condition with light blemishes from use. Housing &amp; ";0;280;Used;1;Unknown;White;16;0;11298
;1;75;Used;0;None;Unknown;32;1;10405
;1;0.01;New;Unknown;Unknown;White;16;1;11330
;0;189.99;Used;0;None;Unknown;16;0;11312
;1;150;New;0;None;White;16;1;10392
"Includes AC adapter, case, screen protector and box; Case and screen protector have scuffs and ";1;244.96;Used;0;None;White;32;0;10722
A device listed in good condition with a few minor mark and/or scratches on the housing or display ;0;140;Used;1;Verizon;White;16;0;10560
;0;399.99;Manufacturer refurbished;1;Unknown;Unknown;32;0;12277
Used;1;89.99;Used;1;Other;Gold;16;1;10715
;1;39.99;For parts or not working;Unknown;Unknown;Unknown;Unknown;1;11664
"Comes with the OEM box, charger, and all OEM packaging &#039;as new&#039;.  Used but in excellent condition.";1;1;Used;1;Verizon;Black;16;1;10365
;1;349.99;New;1;Unknown;Space Gray;32;1;10797
;1;225;Used;1;Verizon;White;16;1;10180
;1;0.99;Used;0;None;Unknown;16;1;10460
Without retail box, charger included. No manual included.  Customer or Carrier Return in New-Other ;0;298;New other (see details);1;AT&T;Black;64;0;11813
Used item, has signs of normal wear. see pictures or description.;1;0.99;Used;0;None;Black;32;1;11406
;1;111;Used;1;Verizon;Black;16;1;10588
Mint condition, no problem, excellent condition;1;69;Used;0;None;Black;32;0;10526
;0;455;New;0;None;Space Gray;16;0;11573
;1;49.99;Used;1;AT&T;White;64;1;10580
This item is in Great cosmetic condition. It may have small scratches and light wear on the screen. ;0;199.99;Used;0;None;Black;64;0;10282
Mint condition!;1;75;Used;0;None;White;16;1;12121
;0;72;For parts or not working;0;None;Black;16;1;12642
This is an Ipad 3 with,100% functional, light sign of wear in the back but no crack , Great ;0;246;Seller refurbished;1;AT&T;Black;64;0;11934
;0;349;New;0;None;Gold;16;0;11297
Open Box Units Grade A Condition. Units may contain minor cosmetic imperfections.;0;499.95;New other (see details);0;None;White;64;0;10044
THIS IPAD IS IN EXCELLENT WORKING CONDITION NO SCRATCHES ON SCREEN A SLIGHT DENT ON ONE OF THE ;1;179;Used;1;Verizon;Black;64;1;12163
;0;345;New;0;None;Gold;16;0;11886
This iPad is in extremely good condition.  The only defect is on the top left corner where it had ;0;165;Used;0;None;White;32;0;12362
;0;174.99;Used;0;None;Unknown;16;0;12358
great condition;1;255;Used;0;None;Unknown;16;1;12339
VERY CLEAN!LIKE NEW!NO DENTS just very little air-like scratches in the bacK!wiped and ready for ;0;279.99;Seller refurbished;0;None;Unknown;16;0;10873
This device was previously owned but is in Mint condition. Items in Mint condition may have signs of ;0;289;Seller refurbished;Unknown;Unknown;Unknown;Unknown;0;11827
This item is in Excellent cosmetic condition. It will not have any scratches on the screen. It may ;0;249.99;Used;1;AT&T;White;64;1;10872
;0;279.95;New;0;None;Unknown;32;0;10106
Device is in AVERAGE used cosmetic condition with heavy scratches and wear.Device is in 100% working ;0;79.94;Used;0;None;Unknown;64;0;11899
;0;250;Used;0;None;White;32;0;12517
I replaced the battery in this IPad roughly one year ago. I was unable to properly re-assemble it ;1;1;Used;1;Verizon;Black;16;1;10226
;0;119;For parts or not working;0;None;Black;16;0;12552
;0;445;New;0;None;Gold;16;0;12451
;1;19.99;Seller refurbished;0;None;Black;16;1;10734
Immaculate Condition... In a Box;1;299.99;Used;0;None;Unknown;16;0;11166
Those used TAB are in good condition with minor scratches on the housing or screen (when the phone ;0;198;Used;1;Verizon;White;32;0;10586
;0;590;New;Unknown;Unknown;White;16;1;11705
cracked screen but fully functional. A replacement screen is included for you to install. minor ;1;75;Used;1;Unknown;White;32;1;10464
;1;0.01;Used;1;Unknown;White;32;1;12061
There is a minor issue with the LCD backlight causing the display to have a slight wavy texture. ;0;149.95;Used;0;None;Unknown;16;1;11787
;0;275;Used;1;Verizon;Black;16;0;12397
*FREE* Same-Day Ship | 90-Day Warranty | 100% Functional, Includes All Major Accessories, Shows ;0;304.89;Seller refurbished;0;None;Unknown;64;0;10063
;0;250;New;0;None;Space Gray;16;0;12524
;1;100;For parts or not working;1;Unknown;White;64;1;11618
;0;450;Used;1;T-Mobile;Unknown;16;0;12267
;1;249;New other (see details);0;None;Space Gray;16;1;11279
;1;199;Used;0;None;Space Gray;64;1;12079
;0;249.99;Used;1;Verizon;Black;32;0;12298
Excellent condition. Under Apple care November 09, 2015. Working and tested. Minor sign of use. ;0;295.95;Used;0;None;Gold;16;0;12430
;1;0.01;Used;0;None;Black;16;1;10813
;0;69;For parts or not working;Unknown;Unknown;White;16;1;11731
;1;500;For parts or not working;Unknown;Unknown;Unknown;Unknown;0;11765
dent on top as shown in pictures;1;79;Used;0;None;White;16;1;11955
The screen is Brand New.  This item is in Heavily Used cosmetic condition. 100% Fully Functional, ;0;134.34;Used;1;AT&T;Black;16;0;11322
;1;89.99;Used;0;None;Black;16;1;10176
"rubber lining worn out, light scratches on the&lt;br&gt;back.  works great.";1;40;Used;0;None;Unknown;16;1;10154
Like new white iPad mini no scratches always kept in case, sold with keyboard, box and cords;1;201.99;Used;0;None;Unknown;16;1;10573
;1;240;Used;0;None;Space Gray;64;1;11968
;1;90;Used;1;AT&T;Unknown;64;1;12056
;0;179.96;Used;0;None;Space Gray;16;0;10377
In great shape! Almost new!;1;107;Used;1;Unknown;Black;32;1;10868
;1;100;Used;0;None;White;16;1;11987
;0;339.5;New;0;None;Gold;16;0;12489
"This item is brand new and was never used; however, the box and/or packaging has been opened.";0;329.99;New other (see details);0;None;Space Gray;16;0;11858
;1;135;Used;0;None;Unknown;16;1;10075
"&#034;Great Working Condition&#034;";1;0.99;Used;1;AT&T;White;16;1;10657
"8 x 64GB, 2 x 32GB &amp; 2 x 16GB iPad 1 Wifi &amp; Cellular - Please Read Description";1;275;For parts or not working;1;Unknown;Black;Unknown;1;11776
;0;389.99;Used;0;None;Space Gray;64;0;10067
GOOD CONDITION;1;89.99;Used;0;None;Unknown;16;1;12248
In new condition only used a short time and always had it in the case. Also selling the case with ;0;165;Used;0;None;Black;16;0;11523
;0;640;New;Unknown;Unknown;Unknown;Unknown;0;11909
"A device listed in Average/Fair  condition with some scratches, scuffs on the housing &amp; screen (do ";0;100;Used;1;AT&T;White;64;0;12301
;1;125;Used;0;None;Unknown;16;1;10492
Great Condtion, a few very light scuffs;1;64.99;Used;0;None;Unknown;16;1;11961
;1;375;Used;0;None;White;32;0;12249
;1;250;Used;1;AT&T;Black;64;1;10435
;1;150;Used;0;None;Black;16;0;10760
Works perfectly, NOT iCloud locked, 1 owner. It is in not in very good conditions, but works ;0;130;Used;0;None;Black;16;1;10086
;0;560;New;0;None;Unknown;64;0;10637
;0;190;Used;1;Verizon;White;32;0;12543
;1;48;Used;0;None;Black;16;1;10339
��ω�ω��Customer or Carrier Return. Cosmetic condition is 9 of 10.�۝ NOT IN ORIGINAL BOX�۝�۝;0;389.99;New other (see details);0;None;Unknown;128;0;10136
;0;339;Used;0;None;White;64;1;10234
;0;95;Used;0;None;Black;32;0;10020
Pristine Condition, (9.75/10). No scratches, dents, or bent corners. Unit has a few tiny markings on ;0;285;Used;0;None;Black;16;0;12443
;1;175;Used;0;None;White;32;1;11144
;1;240;New;0;None;Space Gray;16;0;12502
Clean iPad 4th generation;0;250;Used;0;None;Unknown;16;0;11869
;1;79.97;Used;0;None;Black;32;1;10728
Good condition and fully functional;1;60;Used;0;None;White;16;1;12181
;1;25;Used;0;None;Space Gray;16;1;11117
;0;74.95;For parts or not working;0;None;Unknown;16;0;11703
;0;84.99;Used;0;None;Unknown;16;0;11050
;1;1;Manufacturer refurbished;0;None;White;16;1;10782
;0;4.69;New;Unknown;Unknown;Unknown;Unknown;1;11448
;1;599.99;New;0;None;Space Gray;64;0;12506
This iPad has been converted from 3G capable to WIFI ONLY.;0;150;Used;0;None;Black;64;0;12220
;1;90;Used;0;None;White;16;1;10479
;0;399.99;Manufacturer refurbished;0;None;Unknown;128;0;12514
;1;0.99;Used;1;AT&T;Unknown;32;1;11256
;1;72;Used;0;None;Space Gray;16;1;10556
;1;40;Used;0;None;Unknown;Unknown;1;11326
This is a used iPad, and has a few minor scratches on the front as well as back. There are no cracks ;0;174.99;Used;1;AT&T;Black;64;1;10918
;0;645.99;New;1;Unknown;Gold;64;0;12317
;0;170;Used;1;AT&T;Black;16;0;11103
;0;299.99;New;0;None;Unknown;16;0;10989
;0;80;Used;0;None;Black;16;0;11234
Ipad was only used a few times and is in mint like new condition. Comes with a high speed charger, ;1;150;Used;0;None;Black;16;0;10706
;0;440;New;0;None;Gold;16;0;11379
used but works great and outer condition great;1;50;Used;Unknown;Unknown;Unknown;64;1;10697
Working.  Tested buttons, wifi, sound, camera, touch. Scratched case. Light scratches on lcd. Dust ;0;300;Used;1;AT&T;Space Gray;64;0;10587
"This device is in fair cosmetic condition; it has signs of significant wear and tear including ";0;169.99;Used;Unknown;Unknown;Unknown;Unknown;0;12650
"A device listed in near mint used cosmetic condition with light blemishes from use. Housing &amp; ";0;395;Used;0;None;White;64;0;11337
;1;450;Used;1;Unknown;Unknown;64;1;11053
The iPad mini 2 has absolutely no physical wear, scratches, dents, or technical issues of any kind, ;1;225;Used;0;None;Unknown;16;0;12331
;1;89.99;Used;0;None;White;16;0;10416
;0;599.99;New;1;AT&T;Black;64;0;11255
;0;648;New;0;None;White;32;0;11407
;0;150;Used;0;None;Unknown;16;0;11931
This TAB is in good condition with minor scratches on the housing or screen (does not affect ;0;284;Used;1;Unknown;White;32;0;12401
One year old bought brand new;0;320;New other (see details);Unknown;Unknown;Black;16;0;10744
;1;9.99;Used;0;None;White;16;1;10124
;1;299;Used;1;AT&T;Unknown;16;0;12496
This item is in full working condition with all necessary charging components. Components may be ;0;211.95;Used;1;Verizon;Black;16;0;12318
This iPad 3 is in great condition. It has been protected the whole time with a ZooGue case. No ;1;0.99;Used;0;None;Black;32;1;10729
This is a pre-owned device. It is in very good condition and may have signs of minimal wear, but ;0;229;Seller refurbished;Unknown;Unknown;Unknown;Unknown;1;11823
;0;189.99;Used;0;None;Space Gray;16;0;12510
;1;40;For parts or not working;1;Verizon;White;32;1;11671
;1;0.99;Used;1;Unknown;White;64;1;10009
;1;350;New other (see details);1;Sprint;White;64;0;10748
Used: An item that has been used previously. The item has some signs of cosmetic wear, but is fully ;1;238;Used;0;None;Black;16;0;12141
;0;399.99;New;0;None;Space Gray;16;1;10846
;1;242;Used;1;Verizon;Unknown;32;1;10378
;1;0.99;Used;0;None;Black;16;1;11236
;1;29.99;For parts or not working;Unknown;Unknown;White;16;1;12582
;0;399.99;New;1;Verizon;Space Gray;64;0;10550
;1;55;Used;0;None;Black;32;1;10240
;0;229.99;Used;1;Verizon;Unknown;32;0;11880
FUNCTIONS. ICLOUD IS LOCKED. IN EXCELLENT PHYSICAL CONDITION. PLEASE SEE PICTURES FOR MORE ;1;0.99;For parts or not working;Unknown;Unknown;White;Unknown;1;12577
Non-Functioning Unit, handset only. Please refer to the item description below. Contact us with any ;1;0.99;For parts or not working;0;None;Unknown;16;1;11730
;1;0.99;For parts or not working;0;None;Unknown;32;1;11645
;1;20;For parts or not working;0;None;Space Gray;32;1;12564
This TAB is in average condition with some scratches on the housing or screen (does not affect ;0;92;Used;1;AT&T;White;32;0;11046
;0;429;New;0;None;White;16;0;11833
;0;219.85;Seller refurbished;1;Unknown;Black;64;0;11900
100% Great Condition!!  Had in a case all the time and handled with care.The iPad does have a case ;0;379.99;Used;0;None;Black;16;0;10877
Professionally refurbished and cleaned in excellent cosmetic and working condition. Units come with ;0;314.99;Seller refurbished;0;None;Black;64;0;11301
;0;150;For parts or not working;1;AT&T;White;16;0;11770
;1;0.99;Used;1;AT&T;Black;16;1;10570
;1;125;Used;0;None;Unknown;16;1;12065
;0;308;New other (see details);0;None;Space Gray;16;0;11548
Refurbished by Best Buy Geek Squad Comes With Apple Manufactures Warranty Good till March 1, 2016;1;0.99;Seller refurbished;1;Unknown;Gold;16;1;10820
Shows very little wear from use. Has personalized name on back, but can easily be removed/covered up;1;93;Used;0;None;Unknown;64;1;12044
;0;358.87;Used;0;None;Unknown;32;0;11269
Heavily Used condition. 100% Fully Functional, iCloud Clear, professionally restored, inspected, and ;0;322.99;Used;0;None;Space Gray;32;0;10933
;0;279.5;New;1;Verizon;Black;16;0;11883
Will have some cosmetic damage.;0;399.99;Used;0;None;Unknown;128;0;10222
Item has been professionally tested and inspected. Tests show that all features work correctly. This ;0;153.99;Used;0;None;White;32;0;11251
Sync/Charge cable included.  Unit is in perfect working order with only minimal scuffs.  No earbuds ;0;249.99;Used;Unknown;Unknown;Unknown;Unknown;0;12410
"C - Stock. Seller refurbished &amp; in Fair cosmetic condition. 100% Fully Functional, Clean ESN &amp; ";0;261.99;Seller refurbished;1;Sprint;Black;16;0;11375
;0;80;Used;0;None;Black;16;1;10306
This item is used and in acceptable condition. Minor dents on back plate and medium/moderate ;0;104.99;Used;0;None;Unknown;32;0;11316
;0;588.18;New;1;AT&T;White;64;0;12255
;0;89;Used;1;AT&T;Unknown;64;1;10534
Excellent condition;0;379;Used;1;AT&T;White;32;0;11338
;1;0.99;Manufacturer refurbished;0;None;Unknown;16;1;10401
;0;634.99;New;0;None;Space Gray;128;0;12424
Excellent condition. Normal wear from use. no real marks because it was in a case from day 1. No ;0;375;Used;1;Verizon;White;32;0;11792
;0;595;New;Unknown;Unknown;Unknown;Unknown;1;11359
iPad Black 3rd generation 64Gb storage Model Mc707ll/a iPad is in very nice shape, glass and case ;1;200;Used;Unknown;Unknown;Unknown;Unknown;0;11360
A device listed in good condition with a few minor mark and/or scratches on the housing or display ;0;169;Used;0;None;White;64;0;12054
Item has original packaging. Original packaging has stickers on box. Device has heavy scratches.;0;179.99;Used;1;Verizon;Unknown;16;1;11986
As depicted and described. THIS IS A RE-LISTING DUE TO WINNING BIDDER ON BUY IT NOW DEFAULTING AND ;1;100;Used;0;None;White;16;1;11469
"The Apple iPad is in fair cosmetic condition.  What&#039;s Not Included: Original box, Instructions, ";0;279.99;Used;0;None;White;16;0;11271
Item has original packaging. Original packaging has stickers on box. Minor screen flaw (Does not ;1;97.5;Used;1;Verizon;Unknown;32;1;10329
iPad has average amount of scratches, scuffs and possible dings on the corners, but overall Good ;0;159.93;Used;1;Verizon;Unknown;32;0;10149
;0;350;Used;0;None;Unknown;16;0;11079
;1;260;Used;1;AT&T;White;32;0;11941
Great working iPad.  Only light scratching consistent with typical wear as pictured.;0;187.5;Used;0;None;Black;16;0;10022
;0;190;Manufacturer refurbished;1;Sprint;Unknown;16;0;12016
;1;1;New;0;None;White;32;1;11923
used but in excellent condition no scratches no ding no dent never been dropped has a zagg screen ;1;50;Used;0;None;Unknown;32;1;10443
Used only 1 month, like new condition, include smart case and all accessories;0;480;Used;0;None;Unknown;64;0;10036
"Housing Condition-Moderate Scratches/Dent, No Cracked/Damaged
Screen Condition-Moderate Scratches, ";0;184.95;Used;1;Verizon;Black;32;1;10178
;1;100;Used;0;None;Space Gray;16;1;10284
We are selling good quality iPads that have been fully tested by an Apple Certified Technician. The ;0;109.98;Seller refurbished;1;AT&T;Unknown;64;0;10317
;0;229;For parts or not working;Unknown;Unknown;Unknown;16;0;12576
;0;220;Used;0;None;White;16;0;12540
;0;689.99;New;1;Unknown;White;64;0;12421
ABSOLUTELY NO DENTS, DINGS, OR SCRATCHES.;1;1.99;Used;1;Unknown;Space Gray;128;1;10452
Perfect Condition! Only used for 1 week.;0;415;Used;Unknown;Unknown;Unknown;Unknown;0;12336
;0;244.95;Seller refurbished;0;None;White;16;0;11825
;1;19.99;Used;0;None;Black;16;1;10294
EXCELLENT PRE OWNED CONDITION;1;9.99;Used;Unknown;Unknown;Black;Unknown;1;12471
;1;299;Used;0;None;Space Gray;64;1;10468
Brand new, iPad untouched and still wrapped in original plastic inside box. Opened only to verify ;0;449;New other (see details);0;None;White;16;0;11220
;0;118.84;New;Unknown;Unknown;Unknown;Unknown;0;12477
Very good condition;0;310;Seller refurbished;0;None;Black;16;0;12511
;0;167.38;Used;Unknown;Unknown;Unknown;Unknown;0;10807
Working. Tested wifi, touch, sound, buttons, charge port. Scratched case. Light scratches on lcd. No ;0;99;Used;1;Verizon;Black;16;0;10893
;0;100;For parts or not working;Unknown;Unknown;Unknown;Unknown;0;11763
Works perfectly only upgraded;1;150;Used;1;Unknown;Black;16;0;11957
Excellent condition.;0;400;Used;0;None;Unknown;64;0;10461
;1;0.99;For parts or not working;Unknown;Unknown;Unknown;Unknown;1;11637
THIS MINI IS IN GREAT CONDITION!!;0;429;Used;1;Verizon;Black;32;0;10707
;1;59.99;Used;0;None;Black;16;1;10514
;0;80;Used;0;None;Black;16;1;11503
;0;250;For parts or not working;0;None;Unknown;16;1;11697
;1;0.99;New;0;None;Unknown;16;1;11783
Item has Original packaging. Original packaging has stickers on box. Device has heavy scratches and ;1;111.5;Used;0;None;Unknown;16;1;10499
;0;450;Used;0;None;Unknown;32;0;11580
;0;280;Used;0;None;Black;16;0;12365
;0;159.95;New other (see details);0;None;Unknown;32;0;10638
;1;199.99;Manufacturer refurbished;0;None;White;16;1;12656
"This item is used and in Heavily Used condition. 100% Fully Functional, Clean IMEI (ESN) &amp; iCloud, ";0;347.24;Used;1;AT&T;Space Gray;64;0;12292
Grade B Condition, no screen cracks, perfectly functioning.;0;239;Seller refurbished;1;Sprint;Unknown;16;1;11062
;0;899.99;New;1;Unknown;Space Gray;128;0;12425
;1;175;New;0;None;Unknown;16;1;10905
;1;19.99;Seller refurbished;0;None;Black;32;1;12023
Like out of the box new been in otter box since day one comes with otter box;0;525;Used;1;AT&T;Unknown;16;0;11559
;1;35;For parts or not working;0;None;White;64;1;12563
"Half of the screen doesn&#039;t work and it&#039;s cracked, damage shown in pictures.";0;100;Used;Unknown;Unknown;Unknown;16;0;11585
;1;20;Used;0;None;Black;32;1;12049
;0;320.99;Used;0;None;Space Gray;16;0;12304
Excellent Pre-owned Condition, Barely Used. No cracks or major scratches.;0;175;Used;0;None;White;16;0;10409
;1;45;Used;0;None;Black;32;1;10250
Excellent Condition;0;220;Used;0;None;Unknown;64;0;11410
;0;150;Used;0;None;Black;16;1;11501
Fully functional, Only cracked Digitizer , Screen works great;0;399.99;For parts or not working;1;AT&T;Unknown;64;0;11682
;1;99.99;Used;0;None;Unknown;16;1;10533
;0;75;Used;0;None;Black;16;0;10217
;0;129.99;Used;0;None;Black;64;0;10772
;0;175;Used;Unknown;Unknown;White;16;0;11415
;1;0.99;Used;0;None;Unknown;16;1;10840
;1;200;Used;0;None;White;32;0;11232
Grade A refurbished.  Opened / unsealed.  No cosmetic defects noted.  Consumer return.  Tested to be ;0;349.99;Manufacturer refurbished;0;None;Black;64;0;11164
No scratches. Not in box. Like new.;0;480;Used;Unknown;Unknown;Unknown;Unknown;0;11594
;1;0.99;For parts or not working;0;None;Black;16;1;11656
Cracked screen, flaw is shown in picture, everything is fully functional and ;1;5;Used;0;None;Unknown;16;0;10491
;1;75;For parts or not working;0;None;Space Gray;16;1;11615
;0;539.95;New;0;None;Unknown;128;0;11045
;0;385;New;0;None;White;16;0;10932
;1;299;Used;0;None;Black;64;0;12191
;1;0.99;Used;1;Verizon;Black;64;1;10292
Item is in great shape. It has a Zaag Invisible Shield screen protector installed. There is one ;0;160;Used;0;None;Unknown;16;0;12295
;1;300;New other (see details);1;Other;Space Gray;32;1;11057
;0;339;Seller refurbished;1;Verizon;White;64;0;10369
;0;549;New;0;None;Unknown;64;0;12330
"C - Stock. Seller refurbished &amp; in Fair cosmetic condition. 100% Fully Functional, iCloud Clear, ";0;257.83;Seller refurbished;0;None;Space Gray;16;0;11104
;0;28.75;New;Unknown;Unknown;Unknown;Unknown;0;11459
;0;339.99;Used;1;T-Mobile;Unknown;16;1;10950
14 Days Warranty. Product has some sign of wear and scratches from previous use. (Please see ;0;79.99;Seller refurbished;1;AT&T;Black;16;1;10068
;1;152;Used;0;None;Black;16;0;11033
;0;829.99;New;1;Unknown;Gold;128;0;10951
Refurbished by Geek squad.;0;249;Seller refurbished;1;AT&T;White;32;0;11818
It in excellent condition with no scratches with a anti crack screen protector already on the iPad ;1;230;Used;1;Sprint;Unknown;16;1;11938
But in new condition no dents or scratches.;0;400;Used;1;AT&T;Unknown;32;0;11209
